potencia_x,potencia_y,potencia_z,potencia_total_xyz
1.23933192548767e-05,0.000132672231776607,5.32425065886018e-05,0.000198308057620086
3.26336235524312e-06,3.15515727276393e-06,7.99219557769603e-06,1.44107152057031e-05
3.12392358282655e-06,3.12224549318638e-06,7.75762948785168e-06,1.40037985638646e-05
3.4056441774201e-06,3.27329539542964e-06,8.15436961059937e-06,1.48333091834491e-05
2.92163049528583e-06,2.84264724288598e-06,6.95955089628443e-06,1.27238286344562e-05
3.52313580058185e-06,3.24026044414311e-06,8.05827396516902e-06,1.4821670209894e-05
3.71997628594622e-06,3.15424254248181e-06,7.71271545522747e-06,1.45869342836555e-05
0.000121206810071275,0.000273832443793969,0.00020976170940706,0.000604800963272304
0.000141965325252213,0.00036022906535334,0.000378822051726668,0.000881016442332222
9.25898161231576e-06,5.15394509600226e-06,1.56362436993849e-05,3.0049170407703e-05
7.38889764587558e-05,0.000170386010227313,0.000161451294113314,0.000405726280799383
0.000190953027027647,9.93439011456455e-05,0.000137631978155125,0.000427928906328417
0.000151255720635497,0.000303831243769299,0.000164013385078728,0.000619100349483524
0.000306799713560624,0.000756496497563294,0.000612099584161813,0.00167539579528573
0.000265071602535696,0.00068233107612385,0.000489169783766597,0.00143657246242614
6.76466656182665e-05,0.000165004387441915,8.47673844456332e-05,0.000317418437505815
9.72942285152364e-05,0.000135269028461245,9.31753927164158e-05,0.000325738649692897
0.000286013023896201,0.0010064698389784,0.000938823796947656,0.00223130665982225
0.00046894773919791,0.00207115887643188,0.00177505978070876,0.00431516639633856
0.000310369022727593,0.00167442081265948,0.00113206429676116,0.00311685413214824
7.34797704122305e-05,0.000143455553415274,0.000175889730749912,0.000392825054577417
8.88118558215448e-05,0.000304241552078722,0.000141213900118538,0.000534267308018806
8.4108009418885e-05,5.21155282119065e-05,7.48178929465201e-05,0.000211041430577312
5.49563794108873e-05,2.43649601649449e-05,5.18822575814322e-05,0.000131203597157264
0.0003185000868103,0.000456288830889521,0.000295829345520475,0.0010706182632203
1.49374184022179e-05,3.06495713814556e-05,3.45675176856468e-05,8.01545074693203e-05
6.69791849689633e-06,9.467698403911e-06,1.40849629211752e-05,3.02505798219825e-05
1.06273161628626e-05,8.9852610017913e-06,1.69281846315459e-05,3.65407617961998e-05
8.84366226391529e-06,7.51526800225871e-06,1.39049140443386e-05,3.02638443105126e-05
5.14184152347296e-06,5.191517154031e-06,9.19394069405707e-06,1.9527299371561e-05
8.74474777006662e-06,6.25007616992033e-06,1.1679838616074e-05,2.6674662556061e-05
9.29966658333455e-06,6.53021085710055e-06,1.30078995443582e-05,2.88377769847933e-05
1.15641234326609e-05,7.39365778592812e-06,1.15519180383463e-05,3.05096992569353e-05
1.00003005939165e-05,4.2385027053727e-06,8.74918453130481e-06,2.2987987830594e-05
